,PC1,PC2,Cluster,Label
0,-4.259904488302335,-0.3646545713613937,0,kab. bangkalan
1,-0.16249703344220567,-0.24702239044247487,0,kab. banyuwangi
2,-0.11058838978292734,-0.5812139190162477,0,kab. blitar
3,-0.8377069171226685,-0.5926216726602702,0,kab. bojonegoro
4,-3.5186782023448533,0.6976563337425569,0,kab. bondowoso
5,2.3069677037940957,-0.6395415661893203,1,kab. gresik
6,-2.6503623622424155,0.9989089120513908,0,kab. jember
7,0.6194219104916343,-0.6804741466424394,0,kab. jombang
8,-0.2488328811419722,0.20582479953952726,0,kab. kediri
9,0.2780395719443282,-0.38751963323370303,0,kab. lamongan
10,-2.876692725083928,0.6194092801663585,0,kab. lumajang
11,-0.14572378873055328,-0.7245029882152743,0,kab. madiun
12,0.9550703053762517,-0.757425169336483,0,kab. magetan
13,-0.4601865501052291,-0.020161674054213524,0,kab. malang
14,0.6884554780848141,-0.5426051347127766,0,kab. mojokerto
15,-0.7606029456268514,-0.2561602481819366,0,kab. nganjuk
16,-0.9096126456267776,-0.9795251262732166,0,kab. ngawi
17,-1.65239522216191,0.30331432409955256,0,kab. pacitan
18,-2.4357213930242265,-0.24814225769605658,0,kab. pamekasan
19,-1.4356118255774726,0.40727138287746784,0,kab. pasuruan
20,0.2188746925998107,-0.5495356198206532,0,kab. ponorogo
21,-4.700821796831452,1.8740251703509747,0,kab. probolinggo
22,-4.406150340189154,-1.3643010592624605,0,kab. sampang
23,4.173060769247302,0.11216683284930679,1,kab. sidoarjo
24,-2.223799836598301,-0.08485887332825295,0,kab. situbondo
25,-4.120359467285184,2.008968277491411,0,kab. sumenep
26,-0.9682432575751012,-0.045072275243510984,0,kab. trenggalek
27,-1.339691244003328,-1.1976718841307863,0,kab. tuban
28,0.7384147085825578,-0.11550098880627759,0,kab. tulungagung
29,2.6522489639398295,0.30204180476909565,1,kota batu
30,2.9924126532800455,0.3735483253418242,1,kota blitar
31,4.2051128580243455,4.343347411628384,1,kota kediri
32,4.473347373429771,-0.6893863924854932,1,kota madiun
33,4.254805393058412,0.7522234732139863,1,kota malang
34,3.666685304079915,-0.8988967471553677,1,kota mojokerto
35,1.836738896513437,-1.0434380556823497,1,kota pasuruan
36,1.3852023523875385,-0.29388756510037195,1,kota probolinggo
37,4.779324377964758,0.30541363090949064,1,kota surabaya
